data_snapshot;nucleo;backlog_total;sem_prazo_count;sem_prazo_pct;over_2anos;esforco_real_total
2026-07-29;NSS1;248;166;66.9;54;31567.8
2026-07-29;NSS2;240;99;41.2;29;38037.3
2026-07-29;NSS3;252;216;85.7;72;34851.0
2026-07-29;NC;42;34;81.0;7;5881.9
2026-07-29;GDS-1;782;515;65.9;162;110338.0
